SYMBOL,FC_vs_Naive
Tnfsf6,16.29
Pbx3,13.97
Gp49b,12.24
Cd244,11.02
Ccl3,10.69
Eomes,10.59
Casp3,8.77
PIscr1,8.63
Kdt1,7.93
Ctla4,6.93
Pdcd1,6.55
Ier5,5.85
Rgs16,5.75
A430109M19Rik,5.56
Tnfrsf9,5.42
Penk1,5.09
Coch,4.80
Ptpn13,4.75
Tcrg-V4,4.32
Nr4a2,4.29
Cd160,4.08
Ptger4,4.07
Ccl4,4.01
Wbp5,3.91
Gpr56,3.85
1110067D22Rik,3.79
Entpd1,3.72
Sh2d2a,3.64
Sept4,3.63
Isg20,3.49
Trim47,3.48
Serpina3g,3.48
Casp4,3.43
9130009C22Ril,3.39
C79248,3.30
Lag3,3.25
Nr4a2,3.18
Nfatc1,3.14
Car2,3.13
C330007P06Ril,3.07
Gas2,3.03
